;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
0;0.0;6.0;53.7277692;86.853734;213.0;-1.8440638757185155;-3.0649200966072216;-0.7547892720306466;;79.2;0.0;99.625;-0.0433363923727949;-1.012542061792597;0.0326297542571632;Груженный движется вперед;95;7530G;240;1271.5;34.0;59.0;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.1106944444444444;7.2;6.9;10.6;9.7;-3.0882667503621595;-0.4508839971891043;0;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
1;7.0;7.0;53.7277407;86.8538335;210.0;-2.2864876188291627;-2.2384319248938214;-0.3716475095785413;;79.6;7.280715860194183;43.1;-0.0999286224125624;-1.0166207810747423;0.040787192821454;Груженный движется вперед;95;7530G;240;1312.0;15.0;23.0;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.1585833333333333;9.4;8.0;7.6;12.5;-2.0343307878643433;-0.35632418960022383;0;9.715;6.7;9.9;9.9;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
2;15.0;8.0;53.7277176;86.8539384;209.0;-3.1237341868998447;-1.6033928120241008;-0.08093132920719026;;79.6;7.371803693181716;48.75;0.0183542367696543;-0.9901091057407974;0.0540430304884266;Груженный движется вперед;95;7530G;240;1304.0;17.0;27.5;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.2262916666666666;8.4;8.8;7.4;13.8;-1.191090552978764;-0.3106024762277717;0;6.7;9.715;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
3;25.0;5.0;53.727689;86.854089;210.0;-5.758231765671858;-1.1425212698996585;0.12460949012673106;;79.2;10.4170286534878;145.9125;-0.003059039461609;-0.9707351891506067;0.0978892627714897;Груженный движется вперед;95;7530G;240;1209.0;45.0;63.24999999999999;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.3884166666666666;6.6;11.5;11.9;8.4;-0.5397898773781686;-0.4508835822555546;0;6.7;11.725;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
4;29.0;10.0;53.7276719;86.8541487;219.0;6.025383508838666;-0.8385358104220937;0.25222516946654716;;78.8;4.368435786793827;243.075;-0.0520036708473539;-0.9839910268175792;-0.1040073416947078;Груженный движется вперед;95;7530G;240;1347.0;73.0;99.0;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.5909791666666666;4.2;6.6;12.6;10.6;-0.0616725927353059;-0.4442474929945357;0;6.7;6.7;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
5;41.0;9.0;53.7276269;86.8543085;215.0;0.7740608625014461;-0.6741549454930058;0.30916592985558244;;78.8;11.655887015286462;139.39999999999998;0.0662791883348628;-0.9788926277148976;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1163.0;50.0;76.0;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.8233124999999999;8.1;7.5;11.5;13.9;0.26201746927707736;-0.713190576723095;0;6.7;6.7;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
6;54.0;12.0;53.7275489;86.8544609;213.0;0.34140097446839485;-0.632097187013994;0.30268199233716175;;79.2;13.271770328277892;97.9;-0.0907515040277353;-1.0227388599979603;-0.0061180789232181;Груженный движется вперед;95;7530G;240;1012.0;38.0;72.5;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;0.9320902777777776;7.6;7.3;10.7;9.4;0.45003647698623217;-1.3148841236452613;0;6.7;6.7;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
7;67.0;13.0;53.7274424;86.854508;217.0;2.5591127771559314;-0.6950810468866582;0.24002357795460894;;79.0;12.254831097727305;239.65;-0.0341592739879677;-0.980422147445702;-0.0438462322830631;Груженный движется вперед;95;7530G;240;1370.0;71.0;99.25;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;1.2649374999999998;7.1;8.3;10.5;13.6;0.5211405987194113;-1.7224993843993146;0;6.7;6.7;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
8;86.0;13.0;53.7272698;86.8544634;213.0;1.2666324156417519;-0.8458250370125961;0.12844090775124872;;78.8;19.437303191853857;124.55;-0.0020393596410726;-1.01458142143367;-0.0224329560517997;Груженный движется вперед;95;7530G;240;1233.5;38.0;51.5;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;1.3687291666666666;6.3;10.3;11.1;14.2;0.49408600280386716;-1.9277423169889696;0;6.7;9.715;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
9;103.0;13.0;53.7271313;86.8543761;220.0;1.9356431959333669;-1.0670476692934079;-0.02481579722959415;;78.0;16.455206546548755;43.400000000000006;0.0703579076170082;-0.9931681452024064;-0.0336494340776996;Груженный движется вперед;95;7530G;240;1094.0;23.0;52.0;792.0;32.0;792.0;33.0;860.0;46.0;848.0;43.0;12.0;45.0;832.0;46.0;1.4169513888888887;7.6;8.0;11.4;12.8;0.38762885756685117;-1.7894662257193557;0;6.7;9.715;9.9;14.355;point_60%;1;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
